1701,2447
1701,5335
1701,5781
1701,5990
1701,6455
1701,7738
1701,9692
1701,11383
1701,11701
1702,1924
1702,2448
1702,5336
1702,6566
1702,9710
1703,1925
1703,2449
1703,5337
1703,5770
1703,5979
1703,6465
1703,7730
1703,9657
1703,11372
1703,11702
1704,5342
1704,5788
1704,5997
1704,6675
1704,11373
1704,11703
1705,1926
1705,2450
1705,5344
1705,5771
1705,5980
1705,6446
1705,7732
1705,8607
1705,9642
1705,11384
1705,11704
1706,1927
1706,2451
1706,5348
1706,5772
1706,5981
1706,6448
1706,7731
1706,8606
1706,9690
1706,11374
1706,11705
1707,1928
1707,2452
1707,5357
1707,5802
1707,6011
1707,6461
1707,7740
1707,8561
1707,9623
1707,9662
1707,11378
1707,11707
1708,1929
1708,2453
1708,5363
1708,5775
1708,5984
1708,6450
1708,7668
1708,8557
1708,9618
1708,11708
1710,1930
1710,2152
1710,2428
1710,5306
1710,6022
1710,6627
1710,11735
1711,1931
1711,2175
1711,5294
1711,5715
1711,5915
1711,6417
1711,8612
1711,9664
1711,10943
1711,11366
1712,1932
1712,2427
1712,5296
1712,6020
1712,6412
1712,11365
1712,11665
1713,1933
1713,2423
1713,5196
1713,5738
1713,5883
1713,6415
1713,10968
1714,1934
1714,2424
1714,6430
1714,8599
1715,1935
1715,2425
1715,5713
1715,5859
1715,6444
1716,1936
1716,2422
1717,1937
1717,2421
1717,6015
1717,8562
1717,9660
1717,11738
1718,1938
1718,2420
1719,1939
1719,2003
1719,2374
1719,5730
1719,5904
1719,6434
1719,7771
1719,8592
1719,9958
1719,10946
1719,11464
1719,11712
1720,1940
1720,2375
1720,9958
1721,1941
1721,2376
1721,5817
1721,5938
1721,6477
1721,7744
1721,9698
1721,9960
1721,11465
1721,11713
1722,2377
1722,6577
1722,9931
1722,9970
1722,11468
1723,2378
1723,6578
1723,9971
1723,11469
1724,2379
1724,6576
1724,9972
1724,11470
1725,1942
1725,2380
1725,7689
1725,8620
1725,9974
1726,1943
1726,2381
1726,5727
1726,5940
1726,6440
1726,9974
1726,10949
1726,11471
1726,11714
1727,1945
1727,2383
1727,8593
1727,9975
1728,1946
1728,2384
1728,5725
1728,5864
1728,6426
1728,7772
1728,9976
1728,10953
1728,11473
1728,11716
