prop,serie,ref,name,name_es,color,medium
M,MC,70.993,White Grey,Gris Blanco,#DCD7D6,4
M,MC,70.994,Dark Grey,Gris Oscuro,#2A2B34,4
M,MC,70.995,German Grey,Gris Alemán,#252929,4
ME,MC,70.996,Gold,Oro,#936A34,4
ME,MC,70.997,Silver,Plata,#8C8F8F,4
ME,MC,70.998,Bronze,Bronce,#4D3A21,4
ME,MC,70.999,Copper,Cobre,#7B372E,4
ME,LM,70.790,Silver,Plata,#c9d3d7,5
ME,LM,70.791,Gold,Oro,#ab9a86,4
ME,LM,70.792,Old Gold,Oro Viejo,#beb137,5
ME,LM,70.793,Rich Gold,Oro Rico,#a48135,5
ME,LM,70.794,Red Gold,Oro Rojo,#c88f2b,5
ME,LM,70.795,Green Gold,Oro Verde,#867232,5
ME,LM,70.796,White Gold,Oro Blanco,#d6d9da,5
ME,LM,70.797,Copper,Cobre,#98472a,5
FL,MC,70.730,Yellow Fluo,Amarillo Fluo,#EAE851,4
FL,MC,70.733,Orange Fluo,Naranja Fluo,#F06724,4
FL,MC,70.735,Magenta Fluo,Magenta Fluo,#EC4C9B,4
FL,MC,70.736,Blue Fluo,Azul Fluo,#1274B8,4
FL,MC,70.737,Green Fluo,Verde Fluo,#9BCD67,4
M,MC,70.831,Tan Glaze,Pátina Ocre,#D09041,4
M,MC,70.832,Verdigris Glaze,Pátina Verdín,#89D0C8,4
C,MC,70.834,Natural Woodgrain,Madera Natural,#E9A03E,4
M,MC,70.839,Ultramarine,Azul Ultramar,#345DA7,4
G,MC,70.842,Gloss White,Blanco Brillo,#EFEFEF,4
M,MC,70.853,White Glaze,Pátina Blanca,#EFEFF4,4
M,MC,70.854,Brown Glaze,Pátina Marrón,#493E3D,4
M,MC,70.855,Black Glaze,Pátina Negro,#333639,4
M,MC,70.857,Golden Olive,Oliva Dorado,#7B7F4E,4
M,MC,70.900,French Mirage Blue,Azul Francés,#5C6876,4
M,MC,70.903,Intermediate Blue,Azul Americano,#626C79,4
M,MC,70.904,Dark Blue Grey,Gris Azul Oscuro,#69828B,4
M,MC,70.910,Orange Red,Rojo Claro,#E14D25,4
M,MC,70.912,Tan Yellow,Marrón Amarillo,#B99571,4
C,MC,70.934,Transparent Red,Rojo Transparente,#B42D3E,4
C,MC,70.935,Transparent Orange,Naranja Transparente,#F36B26,4
C,MC,70.936,Transparent Green,Verde Transparente,#018251,4
C,MC,70.937,Transparent Yellow,Amarillo Transparente,#FAA41A,4
